,Model_Name             ,Dataset,F1_score,Precision_score,Recall_score,Accuracy_score,True_Positive,False_Positive,True_Negative,False_Negative
0,Random Forest Classifier,Training,1.0,1.0,1.0,1.0,231,0,186,0
1,Random Forest Classifier,Testing,0.7544910179640718,0.7411764705882353,0.7682926829268293,0.7722222222222223,76,22,63,19
2,Stochastic Gradient Decent,Testing,0.7052023121387282,0.6703296703296703,0.7439024390243902,0.7166666666666667,68,30,61,21
3,Logistc Regression,Testing,0.7320261437908497,0.7887323943661971,0.6829268292682927,0.7722222222222223,83,15,56,26
4,Bernoulli Naive Bayes,Testing,0.6875,0.7051282051282052,0.6707317073170732,0.7222222222222222,75,23,55,27
5,Support Vector Classifier,Testing,0.7236842105263158,0.7857142857142857,0.6707317073170732,0.7666666666666667,83,15,55,27
6,Gradient Naive Bayes,Testing,0.6973684210526315,0.7571428571428571,0.6463414634146342,0.7444444444444445,81,17,53,29
7,Stochastic Gradient Decent,Training,0.7064676616915422,0.6574074074074074,0.7634408602150538,0.7170263788968825,157,74,142,44
8,k nearest Neighbour,Training,0.8264984227129338,1.0,0.7043010752688172,0.86810551558753,231,0,131,55
9,k nearest Neighbour,Testing,0.43199999999999994,0.627906976744186,0.32926829268292684,0.6055555555555555,82,16,27,55
10,Gradient Naive Bayes,Training,0.7042253521126761,0.7396449704142012,0.6720430107526881,0.7482014388489209,187,44,125,61
11,Logistic Regression,Training,0.7106017191977078,0.7607361963190185,0.6666666666666666,0.7577937649880095,192,39,124,62
12,Bernoulli Naive Bayes,Training,0.6578249336870027,0.6492146596858639,0.6666666666666666,0.6906474820143885,164,67,124,62
13,Support Vector Classifier,Training,0.7048710601719197,0.754601226993865,0.6612903225806451,0.7529976019184652,191,40,123,63
