,Model_Name             ,Dataset,F1_score,Precision_score,Recall_score,Accuracy_score,True_Positive,False_Positive,True_Negative,False_Negative
0,Random Forest Classifier,Training,1.0,1.0,1.0,1.0,106,0,174,0
1,Random Forest Classifier,Testing,1.0,1.0,1.0,1.0,44,0,76,0
2,Stochastic Gradient Decent,Training,0.9857142857142858,0.9885714285714285,0.9829545454545454,0.9942528735632183,103,3,173,1
3,Stochastic Gradient Decent,Testing,0.9916666666666667,0.9933774834437086,1.0,0.9868421052631579,44,0,75,1
4,k nearest Neighbour,Training,0.9857142857142858,0.9885714285714285,0.9829545454545454,0.9942528735632183,103,3,173,1
5,k nearest Neighbour,Testing,0.9916666666666667,0.9933774834437086,1.0,0.9868421052631579,44,0,75,1
6,Logistic Regression,Training,0.9857142857142858,0.9884393063583815,0.9941860465116279,0.9827586206896551,105,1,171,3
7,Logistic Regression,Testing,0.9916666666666667,0.9933774834437086,1.0,0.9868421052631579,44,0,75,1
8,Support Vector Classifier,Training,0.9821428571428571,0.9855072463768115,0.9941520467836257,0.9770114942528736,105,1,170,4
9,Support Vector Classifier,Testing,0.9916666666666667,0.9933774834437086,1.0,0.9868421052631579,44,0,75,1
10,Bernoulli Naive Bayes,Training,0.975,0.9799426934097422,0.9771428571428571,0.9827586206896551,102,4,171,3
11,Bernoulli Naive Bayes,Testing,0.9833333333333333,0.9866666666666666,1.0,0.9736842105263158,44,0,74,2
12,Gradient Naive Bayes,Training,0.9357142857142857,0.9454545454545454,1.0,0.896551724137931,106,0,156,18
13,Gradient Naive Bayes,Testing,0.6333333333333333,0.7755102040816326,0.6333333333333333,1.0,0,44,76,0
