,Model_Name             ,Dataset,F1_score,Precision_score,Recall_score,Accuracy_score,True_Positive,False_Positive,True_Negative,False_Negative
0,Random Forest Classifier,Training,1.0,1.0,1.0,1.0,21,0,20,0
1,Random Forest Classifier,Testing,0.6666666666666666,0.625,0.625,0.625,7,3,5,3
2,Stochastic Gradient Decent,Training,0.9512195121951219,0.9523809523809523,0.9090909090909091,1.0,19,2,20,0
3,Stochastic Gradient Decent,Testing,0.7777777777777778,0.75,0.75,0.75,8,2,6,2
4,k nearest Neighbour,Training,0.8536585365853658,0.8571428571428572,0.8181818181818182,0.9,17,4,18,2
5,k nearest Neighbour,Testing,0.7222222222222222,0.7058823529411765,0.6666666666666666,0.75,7,3,6,2
6,Logistic Regression,Training,0.9512195121951219,0.9523809523809523,0.9090909090909091,1.0,19,2,20,0
7,Logistic Regression,Testing,0.7777777777777778,0.75,0.75,0.75,8,2,6,2
8,Support Vector Classifier,Training,0.8780487804878049,0.8837209302325583,0.8260869565217391,0.95,17,4,19,1
9,Support Vector Classifier,Testing,0.7222222222222222,0.7058823529411765,0.6666666666666666,0.75,7,3,6,2
10,Bernoulli Naive Bayes,Training,0.8292682926829268,0.8292682926829269,0.8095238095238095,0.85,17,4,17,3
11,Bernoulli Naive Bayes,Testing,0.7777777777777778,0.75,0.75,0.75,8,2,6,2
12,Gradient Naive Bayes,Training,0.8536585365853658,0.8695652173913044,0.7692307692307693,1.0,15,6,20,0
13,Gradient Naive Bayes,Testing,0.6111111111111112,0.4615384615384615,0.6,0.375,8,2,3,5
