,Model_Name             ,Dataset,F1_score,Precision_score,Recall_score,Accuracy_score,True_Positive,False_Positive,True_Negative,False_Negative
0,Logistc Regression,Testing,0.8532110091743119,0.744,1.0,0.7808219178082192,21,32,93,0
1,Random Forest Classifier,Training,1.0,1.0,1.0,1.0,97,0,241,0
2,Support Vector Classifier,Testing,0.8340807174887892,0.7153846153846154,1.0,0.7465753424657534,16,37,93,0
3,Gradient Naive Bayes,Testing,0.8387096774193549,0.7338709677419355,0.978494623655914,0.7602739726027398,20,33,91,2
4,Random Forest Classifier,Testing,0.8682926829268293,0.7946428571428571,0.956989247311828,0.815068493150685,30,23,89,4
5,Bernoulli Naive Bayes,Testing,0.854368932038835,0.7787610619469026,0.946236559139785,0.7945205479452054,28,25,88,5
6,Logistic Regression,Training,0.8851224105461393,0.8103448275862069,0.975103734439834,0.8195266272189349,42,55,235,6
7,Support Vector Classifier,Training,0.865561694290976,0.7781456953642384,0.975103734439834,0.7840236686390533,30,67,235,6
8,Gradient Naive Bayes,Training,0.8712121212121212,0.8013937282229965,0.9543568464730291,0.7988165680473372,40,57,230,11
9,k nearest Neighbour,Training,0.9678800856531049,1.0,0.9377593360995851,0.9556213017751479,97,0,226,15
10,Stochastic Gradient Decent,Testing,0.7755102040816327,0.7378640776699029,0.8172043010752689,0.6986301369863014,26,27,76,17
11,k nearest Neighbour,Testing,0.7978723404255319,0.7894736842105263,0.8064516129032258,0.7397260273972602,33,20,75,18
12,Bernoulli Naive Bayes,Training,0.8782435129740518,0.8461538461538461,0.9128630705394191,0.8195266272189349,57,40,220,21
13,Stochastic Gradient Decent,Training,0.801670146137787,0.8067226890756303,0.7966804979253111,0.7189349112426036,51,46,192,49
